Date,Temperature_data
04/01/2022,20.867
05/01/2022,21.333
06/01/2022,26.5
07/01/2022,23.967
08/01/2022,26.75
09/01/2022,23.5
10/01/2022,26.767
11/01/2022,25.05
12/01/2022,21.25
13/01/2022,20.55
14/01/2022,25.1
15/01/2022,24.833
16/01/2022,25.267
17/01/2022,24.633
18/01/2022,21.467
19/01/2022,20.667
20/01/2022,20.633
21/01/2022,21.6
22/01/2022,24.5
23/01/2022,22.067
24/01/2022,25.9
25/01/2022,22.633
26/01/2022,20.133
27/01/2022,19.3
28/01/2022,19.633
29/01/2022,19.8
30/01/2022,20.2
31/01/2022,22.033
01/02/2022,20.1
02/02/2022,20.167
03/02/2022,19.1
04/02/2022,22.9
05/02/2022,25.2
06/02/2022,24.333
07/02/2022,21.9
08/02/2022,20.433
09/02/2022,20.4
10/02/2022,21.533
11/02/2022,23.3
12/02/2022,21.067
13/02/2022,20.7
14/02/2022,20.8
15/02/2022,22.9
16/02/2022,21.833
17/02/2022,23.4
18/02/2022,20.6
19/02/2022,23.9
20/02/2022,21.7
21/02/2022,22.7
22/02/2022,22.7
23/02/2022,23.6
24/02/2022,22.867
25/02/2022,22.967
26/02/2022,24.1
27/02/2022,24.4
28/02/2022,23.967
01/03/2022,24.867
02/03/2022,24.3
03/03/2022,22.65
04/03/2022,23.2
05/03/2022,23.8
06/03/2022,24.35
07/03/2022,26.75
08/03/2022,24.4
09/03/2022,25.333
10/03/2022,26.667
11/03/2022,25.5
12/03/2022,25.3
13/03/2022,25.167
14/03/2022,23.825
15/03/2022,22.167
16/03/2022,24.2
17/03/2022,23.5
18/03/2022,25.333
19/03/2022,26
20/03/2022,27.267
21/03/2022,28
22/03/2022,27.833
23/03/2022,29
24/03/2022,26.467
25/03/2022,26.8
26/03/2022,27.533
27/03/2022,27.5
28/03/2022,27.5
29/03/2022,26.933
30/03/2022,23.967
31/03/2022,27.45
01/04/2022,26.85
02/04/2022,25.85
03/04/2022,25.133
04/04/2022,24.533
05/04/2022,24.533
06/04/2022,26.667
07/04/2022,27.367
08/04/2022,28.267
09/04/2022,27.533
10/04/2022,27.533
11/04/2022,27.4
12/04/2022,27.7
13/04/2022,28.9
14/04/2022,27.3
15/04/2022,26.55
16/04/2022,27.633
17/04/2022,27.6
18/04/2022,27.033
19/04/2022,25.2
20/04/2022,27.067
21/04/2022,25.7
22/04/2022,25.95
23/04/2022,26.6
24/04/2022,27.867
25/04/2022,27.2
26/04/2022,28.85
27/04/2022,23.467
28/04/2022,28.833
29/04/2022,27.6
30/04/2022,26.6
01/05/2022,24.133
02/05/2022,25.767
03/05/2022,26.7
04/05/2022,27.7
05/05/2022,22.5
06/05/2022,26.2
07/05/2022,23.867
08/05/2022,25.2
09/05/2022,28.533
10/05/2022,26
11/05/2022,27.767
12/05/2022,27.5
13/05/2022,27
14/05/2022,27.333
15/05/2022,26.7
16/05/2022,26.8
17/05/2022,26.033
18/05/2022,26.967
19/05/2022,24.167
20/05/2022,25.467
21/05/2022,24.133
22/05/2022,26.167
23/05/2022,25.333
24/05/2022,25.333
25/05/2022,20.633
26/05/2022,25.2
27/05/2022,24.467
28/05/2022,21.9
29/05/2022,24.3
30/05/2022,28.65
31/05/2022,29.767
01/06/2022,28.833
02/06/2022,28.6
03/06/2022,26.35
04/06/2022,27.567
05/06/2022,27.267
06/06/2022,28.4
07/06/2022,27.6
08/06/2022,25.2
09/06/2022,27.7
10/06/2022,28.133
11/06/2022,29.267
12/06/2022,26.267
13/06/2022,24.775
14/06/2022,22.733
15/06/2022,21.133
16/06/2022,21.233
17/06/2022,26.933
18/06/2022,23.8
19/06/2022,25.333
20/06/2022,25.333
21/06/2022,20.633
22/06/2022,25.2
23/06/2022,24.467
24/06/2022,21.9
25/06/2022,24.3
26/06/2022,28.65
27/06/2022,29.767
28/06/2022,28.833
29/06/2022,28.6
30/06/2022,26.35
01/07/2022,27.567
02/07/2022,21.9
03/07/2022,24.3
04/07/2022,28.65
05/07/2022,29.767
06/07/2022,28.833
07/07/2022,22.42
08/07/2022,25.22
09/07/2022,27.583
10/07/2022,25.28
11/07/2022,26.333
12/07/2022,24.26
13/07/2022,28.1
14/07/2022,26.267
15/07/2022,24.55
16/07/2022,22.54
17/07/2022,21.9
18/07/2022,24.3
19/07/2022,28.65
20/07/2022,22.7
21/07/2022,22.78
22/07/2022,24.2
23/07/2022,28.1
24/07/2022,26.267
25/07/2022,24.55
26/07/2022,23.617
27/07/2022,27.2
28/07/2022,26.52
29/07/2022,29.567
30/07/2022,25.367
31/07/2022,26.267
01/08/2022,25.52
02/08/2022,26.3
03/08/2022,27.86
04/08/2022,26.083
05/08/2022,29.32
06/08/2022,24.333
07/08/2022,23.833
08/08/2022,23.6
09/08/2022,22.317
10/08/2022,25
11/08/2022,22.82
12/08/2022,24.533
13/08/2022,23.233
14/08/2022,24.9
15/08/2022,22.217
16/08/2022,23.8
17/08/2022,24.575
18/08/2022,25.54
19/08/2022,27.567
20/08/2022,24.867
21/08/2022,20.022
22/08/2022,22.583
23/08/2022,25.3
24/08/2022,26.133
25/08/2022,25.943
26/08/2022,28.55
27/08/2022,27.017
28/08/2022,27.38
29/08/2022,28.129
30/08/2022,29.367
31/08/2022,28.85
01/09/2022,28.967
02/09/2022,30.283
03/09/2022,27.25
04/09/2022,27.633
05/09/2022,28.633
06/09/2022,28.567
07/09/2022,28.467
08/09/2022,29.95
09/09/2022,25.3
10/09/2022,24.34
11/09/2022,25.367
12/09/2022,26.2
13/09/2022,25.62
14/09/2022,23.767
15/09/2022,24.65
16/09/2022,24.813
17/09/2022,22.3
18/09/2022,22
19/09/2022,24.017
20/09/2022,24.15
21/09/2022,22.767
22/09/2022,23.4
23/09/2022,26.683
24/09/2022,27.333
25/09/2022,25.25
26/09/2022,24.3
27/09/2022,26.3
28/09/2022,25.25
29/09/2022,24.683
30/09/2022,23.3
01/10/2022,27.167
02/10/2022,25.2
03/10/2022,25.05
04/10/2022,29.25
05/10/2022,26.075
06/10/2022,24.983
07/10/2022,26.833
08/10/2022,26.883
09/10/2022,26.8
